----------------------19/05

URL: https://www.toctoc.com/ofertas-toctoc/detalle/575904/066e4d31-7582-40a1-85dd-444b46713843 ; Proyecto: Av. Perú Plaza ;   N° departamento: 305  ; Precio Normal: Normal: UF 3.677 ; Oferta: 3.199 ; Descuento:  3.199 UF  ; Reserva: Precio reserva: $250.000
URL: https://www.toctoc.com/ofertas-toctoc/detalle/1115826/4aba2b3a-2077-4212-887d-26e200800cb1 ; Proyecto: Santa Petronila Plaza ;   N° departamento: 407  ; Precio Normal: Normal: UF 3.093 ; Oferta: 2.629 ; Descuento:  2.629 UF  ; Reserva: Precio reserva: $250.000
URL: https://www.toctoc.com/ofertas-toctoc/detalle/1619458/fe6909fe-cdcf-4b04-8726-146eafd538c2 ; Proyecto: Edificio Chiloé-Prat ;   N° departamento: 221  ; Precio Normal: Normal: UF 2.781 ; Oferta: 2.392 ; Descuento:  2.392 UF  ; Reserva: Precio reserva: $250.000
URL: https://www.toctoc.com/ofertas-toctoc/detalle/1619458/fe6909fe-cdcf-4b04-8726-146eafd538c2 ; Proyecto: Edificio Chiloé-Prat ;   N° departamento: 221  ; Precio Normal: Normal: UF 2.781 ; Oferta: 2.392 ; Descuento:  2.392 UF  ; Reserva: Precio reserva: $250.000
URL: https://www.toctoc.com/ofertas-toctoc/detalle/434987/6adcb713-bf73-41ce-a48e-f97315e29a8b ; Proyecto: Edmundo Eluchans Plaza ;   N° departamento: 810  ; Precio Normal: Normal: UF 5.862 ; Oferta: 4.983 ; Descuento:  4.983 UF  ; Reserva: Precio reserva: $250.000
URL: https://www.toctoc.com/ofertas-toctoc/detalle/434987/6adcb713-bf73-41ce-a48e-f97315e29a8b ; Proyecto: Edmundo Eluchans Plaza ;   N° departamento: 810  ; Precio Normal: Normal: UF 5.862 ; Oferta: 4.983 ; Descuento:  4.983 UF  ; Reserva: Precio reserva: $250.000
URL: https://www.toctoc.com/ofertas-toctoc/detalle/1341895/407600ab-a1c9-4802-8a3a-4945dab8877c ; Proyecto: Plaza San Miguel ;   N° departamento: 505  ; Precio Normal: Normal: UF 3.489 ; Oferta: 3.384 ; Descuento:  3.384 UF  ; Reserva: Precio reserva: $300.000

------------------------------------------------- 24/05/2022
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1730388/2eb9a0d6-a6d1-4a3a-9589-ef4c4faf50fc ; Proyecto: Carlos Valdovinos 201 ;   N° departamento: I346-307  ; Precio Normal: Normal: UF 3.315 ; Oferta: 2.984 ; Descuento:  UF 2.984 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1634373/dcb9f01b-b286-425f-a9ad-aa503c716ef7 ; Proyecto: 2 Norte 1230 ;   N° departamento: A505  ; Precio Normal: Normal: UF 4.603 ; Oferta: 3.913 ; Descuento:  UF 3.913 ; Reserva: Precio reserva: $500.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1903267/e6495688-984f-4f91-bf93-090abda7761c ; Proyecto: Distrito Ñuñoa ;   N° departamento: 906  ; Precio Normal: Normal: UF 3.355 ; Oferta: 3.053 ; Descuento:  UF 3.053 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1982104/069f42fd-43a5-43e7-acea-016b2b32236b ; Proyecto: Edificio Santa Elena 1670 ;   N° departamento: 1003  ; Precio Normal: Normal: UF 2.769 ; Oferta: 2.492 ; Descuento:  UF 2.492 ; Reserva: Precio reserva: $100.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1442458/c5fdee1f-8012-44ce-82b4-cf242062cd9e ; Proyecto: Condominio Los Avellanos ;   Bodega: No  ; Precio Normal: Normal: UF 3.750 ; Oferta: 3.413 ; Descuento:  UF 3.413 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1839533/ea495b2a-9535-404e-9d17-e16db2c91212 ; Proyecto: Edificio Rozas 677 ;   N° departamento: 1508  ; Precio Normal: Normal: UF 2.335 ; Oferta: 2.102 ; Descuento:  UF 2.102 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1149261/c2ad671d-8149-447a-abc9-db33cc0be793 ; Proyecto: LAS DALIAS ;   N° departamento: A.510  ; Precio Normal: Normal: UF 5.025 ; Oferta: 4.372 ; Descuento:  UF 4.372 ; Reserva: Precio reserva: $300.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1982104/afcb775a-f11a-4dc5-bbe1-b5130b189a6b ; Proyecto: Edificio Santa Elena 1670 ;   N° departamento: 703  ; Precio Normal: Normal: UF 2.747 ; Oferta: 2.472 ; Descuento:  UF 2.472 ; Reserva: Precio reserva: $100.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1149218/baee1971-059f-4392-a83c-9f60b863c38e ; Proyecto: Mirador Martín de Zamora ;   N° departamento: 503  ; Precio Normal: Normal: UF 8.423 ; Oferta: 7.412 ; Descuento:  UF 7.412 ; Reserva: Precio reserva: $1.000.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1619458/453c3b33-2f5b-4c8c-9cbe-de8417231e0c ; Proyecto: Edificio Chiloé-Prat ;   N° departamento: 402  ; Precio Normal: Normal: UF 3.968 ; Oferta: 3.333 ; Descuento:  UF 3.333 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1037306/e2aeb100-d0fc-46ae-9169-50bfc9032098 ; Proyecto: Quinta Radal ;   N° departamento: 1311  ; Precio Normal: Normal: UF 4.350 ; Oferta: 3.959 ; Descuento:  UF 3.959 ; Reserva: Precio reserva: $300.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1149259/1a952513-789c-4cd0-9051-1440d508e553 ; Proyecto: Edificio Portal Caldera ;   N° departamento: D.303  ; Precio Normal: Normal: UF 3.390 ; Oferta: 3.051 ; Descuento:  UF 3.051 ; Reserva: Precio reserva: $500.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1149259/16026e98-0ecd-436b-83d1-6396b0d30ae3 ; Proyecto: Edificio Portal Caldera ;   N° departamento: A.306  ; Precio Normal: Normal: UF 3.415 ; Oferta: 3.074 ; Descuento:  UF 3.074 ; Reserva: Precio reserva: $500.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1387181/991c5f65-3370-4c1a-ac65-3d50db4727b8 ; Proyecto: Entre Parques IV ;   Bodega: No  ; Precio Normal: Normal: UF 7.225 ; Oferta: 6.503 ; Descuento:  UF 6.503 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1149218/81aa3209-1218-43c8-82e0-efd65240e990 ; Proyecto: Mirador Martín de Zamora ;   N° departamento: 504  ; Precio Normal: Normal: UF 8.663 ; Oferta: 7.623 ; Descuento:  UF 7.623 ; Reserva: Precio reserva: $1.000.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1327428/ced1cf21-8a3a-4ee0-bef0-0393e41ec621 ; Proyecto: SAN LEON IX ;   Bodega: No  ; Precio Normal: Normal: UF 4.705 ; Oferta: 4.235 ; Descuento:  UF 4.235 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1720630/aad441b8-dfa1-4e66-8661-3abbe4d1e347 ; Proyecto: Edificio Vivaceta ;   N° departamento: 616  ; Precio Normal: Normal: UF 1.908 ; Oferta: 1.736 ; Descuento:  UF 1.736 ; Reserva: Precio reserva: $300.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1097394/4dcf66f8-af0b-4da6-b308-713c92b75671 ; Proyecto: Holanda 1101 ;   N° departamento: 1201  ; Precio Normal: Normal: UF 8.000 ; Oferta: 7.04 ; Descuento:  UF 7.040 ; Reserva: Precio reserva: $1.000.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1716756/d7440116-bfcb-4ca5-b570-c291e451d28d ; Proyecto: COMPAÑIA ;   N° departamento: 713  ; Precio Normal: Normal: UF 2.795 ; Oferta: 2.432 ; Descuento:  UF 2.432 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1593543/8fb82611-ffad-40af-a54f-a95f0bb231ef ; Proyecto: Edificio del Canto ;   N° departamento: 302  ; Precio Normal: Normal: UF 6.980 ; Oferta: 6.352 ; Descuento:  UF 6.352 ; Reserva: Precio reserva: $2.000.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1425694/d3032457-76b5-4f83-94f7-78024675f91e ; Proyecto: Nueva Arlegui ;   N° departamento: 604  ; Precio Normal: Normal: UF 5.173 ; Oferta: 4.397 ; Descuento:  UF 4.397 ; Reserva: Precio reserva: $500.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1982996/326d14ad-7ab0-4ff0-9fc9-bea5fd1ae262 ; Proyecto: Edificio Rosas 1444 ;   N° departamento: 415  ; Precio Normal: Normal: UF 2.734 ; Oferta: 2.461 ; Descuento:  UF 2.461 ; Reserva: Precio reserva: $100.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1903267/87e49d05-8055-4bd0-b7ea-43bc4d6cecc3 ; Proyecto: Distrito Ñuñoa ;   N° departamento: 1310  ; Precio Normal: Normal: UF 3.030 ; Oferta: 2.757 ; Descuento:  UF 2.757 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1578737/df837ae9-274b-4ecb-91dc-b0ae1b9fba27 ; Proyecto: Las Calandrias Condominio Los Nidales ;   Bodega: No  ; Precio Normal: Normal: UF 7.900 ; Oferta: 7.11 ; Descuento:  UF 7.110 ; Reserva: Precio reserva: $500.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1982996/702444fb-de14-43f5-b128-18d6a5a57960 ; Proyecto: Edificio Rosas 1444 ;   N° departamento: 608  ; Precio Normal: Normal: UF 2.722 ; Oferta: 2.45 ; Descuento:  UF 2.450 ; Reserva: Precio reserva: $100.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1789066/abff8615-4610-4a43-a566-5f04851ca73c ; Proyecto: Condominio Camino el Retiro II ;   Bodega: No  ; Precio Normal: Normal: UF 5.505 ; Oferta: 4.955 ; Descuento:  UF 4.955 ; Reserva: Precio reserva: $300.000
